model,accuracy_mean,accuracy_std,f1_high_risk_mean,f1_high_risk_std,n_splits,n_rows,panel
baseline_majority,0.750609756097561,0.05813008130081301,0.0,0.0,5,9840,country
logistic_regression,0.8935975609756097,0.01931856841821864,0.7827337294390876,0.04368959231453204,5,9840,country
decision_tree,0.8728658536585365,0.008462463728278866,0.7582459760475473,0.04993686138085483,5,9840,country
random_forest,0.9215447154471544,0.0060088396337782445,0.8352723456370963,0.032638422577689036,5,9840,country
