horizon,n_splits,n_rows,rmse_rf_mean_original,rmse_rf_std_original,rmse_ridge_mean_original,rmse_ridge_std_original,rmse_rf_mean_log_target,rmse_rf_std_log_target,rmse_ridge_mean_log_target,rmse_ridge_std_log_target
t+1,5,9635,63.338208271714414,35.20187281394133,57.61179600469997,25.967512766970856,76.15122363560428,51.98387769826182,83.6237097888035,52.375185995819905
t+5,5,8815,84.54141888555432,48.6669036855614,86.86786501935634,40.80285263592472,91.20561251926415,58.69432957470629,112.57714260028698,65.85550969563798
t+10,5,7790,101.37423667541252,62.74669563227293,107.96288280542426,59.706426437484225,103.82831370235314,67.2142458773241,119.30403551720613,79.1794450320393
