Country,mean_attacks,mean_fatalities,attack_slope,cluster
Afghanistan,265.2291666666667,829.25,26.699250976987212,1
Albania,1.6666666666666667,0.9166666666666666,0.048306556665218534,3
Algeria,57.145833333333336,235.45833333333334,2.0871146330872916,0
Andorra,0.020833333333333332,0.0,-0.0021168041684759306,3
Angola,10.395833333333334,73.60416666666667,-0.03316326530613105,3
Antigua and Barbuda,0.020833333333333332,0.0,-0.00016283108988276936,3
Argentina,16.979166666666668,10.958333333333334,-0.8949739470256389,3
Armenia,0.5,1.1458333333333333,0.02008250108554106,3
Australia,2.375,0.5416666666666666,0.05405992184107861,3
Austria,2.3958333333333335,0.8125,-0.05476552323057115,3
Azerbaijan,1.0208333333333333,20.75,0.028603994789405784,3
Bahamas,0.10416666666666667,0.3333333333333333,-0.00037993920972655685,3
Bahrain,4.3125,1.5,0.37467433782024306,3
Bangladesh,34.333333333333336,28.020833333333332,2.2757273122015325,3
Barbados,0.0625,35.083333333333336,-0.003962223187147381,3
Belarus,0.2708333333333333,0.3125,0.016663048198002788,3
Belgium,3.2083333333333335,1.7708333333333333,-0.08098132870169655,3
Belize,0.16666666666666666,0.20833333333333334,0.00021710811984363072,3
Benin,0.16666666666666666,0.0,0.002171081198436834,3
Bhutan,0.125,3.4791666666666665,0.010204081632653243,3
Bolivia,6.541666666666667,1.3958333333333333,-0.2302431610942343,3
Bosnia-Herzegovina,3.3125,28.166666666666668,0.07984151107251272,3
Botswana,0.20833333333333334,1.0208333333333333,-0.006730351715154411,3
Brazil,5.6875,4.916666666666667,-0.07343682153712719,3
Brunei,0.125,0.0,-0.01183239253148096,3
Bulgaria,1.0833333333333333,1.2291666666666667,0.029635258358662424,3
Burkina Faso,1.0833333333333333,3.6666666666666665,0.12060356057316875,3
Burundi,12.770833333333334,140.64583333333334,0.7575445071645862,3
Cambodia,5.395833333333333,13.166666666666666,0.03023230568823242,3
Cameroon,6.916666666666667,65.0625,0.7428354320451804,3
Canada,2.0,8.270833333333334,0.07631350412505668,3
Central African Republic,5.895833333333333,43.166666666666664,0.6158814589665823,3
Chad,1.8958333333333333,31.375,0.13726660877117122,3
Chile,49.270833333333336,5.0,-1.5851606600087524,3
China,5.25,29.604166666666668,0.28158923143725934,3
Colombia,173.04166666666666,319.3541666666667,0.3863438992617181,0
Comoros,0.10416666666666667,0.5,0.001031263569257419,3
Costa Rica,1.3958333333333333,0.8333333333333334,-0.08060138949197013,3
Croatia,1.1875,108.97916666666667,0.010692574902300807,3
Cuba,0.625,0.6875,0.006621797655232006,3
Cyprus,2.75,1.0833333333333333,-0.016500217108121683,3
Czech Republic,0.6666666666666666,0.1875,0.046569691706470864,3
Czechoslovakia,0.20833333333333334,10.3125,-0.005427702996092371,3
Democratic Republic of the Congo,16.145833333333332,89.27083333333333,1.695668693009165,3
Denmark,0.8541666666666666,0.16666666666666666,-0.005916196265740528,3
Djibouti,0.4583333333333333,12.583333333333334,0.0021710811984368243,3
Dominica,0.0625,1.6875,-0.0023339122883196564,3
Dominican Republic,1.875,2.1458333333333335,-0.04135909683022277,3
East Germany (GDR),0.7916666666666666,0.08333333333333333,-0.060247503256617964,3
East Timor,0.20833333333333334,1.3333333333333333,0.010638297872340581,3
Ecuador,4.583333333333333,1.1875,-0.08771168041685243,3
Egypt,51.645833333333336,82.10416666666667,4.595364741641477,0
El Salvador,110.83333333333333,252.0,-5.345201910551645,0
Equatorial Guinea,0.041666666666666664,1.0,0.0015197568389057681,3
Eritrea,0.20833333333333334,4.333333333333333,0.012049500651324513,3
Estonia,0.3333333333333333,0.3541666666666667,0.008575770733825754,3
Ethiopia,3.9583333333333335,50.1875,0.13395570994355505,3
Falkland Islands,0.020833333333333332,0.0,-0.0011398176291793705,3
Fiji,0.3541666666666667,0.2916666666666667,0.001356925749022821,3
