,Num_Attacks,Fatalities,Injuries,Conflict_Level,Population,GDP_per_capita
Num_Attacks,1.0,0.8566377183241293,0.788407238058891,0.3606910638354839,0.14047270556496508,-0.06476470083073989
Fatalities,0.8566377183241293,1.0,0.8388367079173443,0.35958650345801124,0.06383970836711941,-0.08767558787930345
Injuries,0.788407238058891,0.8388367079173443,1.0,0.32843614587414516,0.08472376600828867,-0.036117963140566395
Conflict_Level,0.3606910638354839,0.35958650345801124,0.32843614587414516,1.0,0.1409651659802051,-0.2515965818587387
Population,0.14047270556496508,0.06383970836711941,0.08472376600828867,0.1409651659802051,1.0,-0.03740790831734189
GDP_per_capita,-0.06476470083073989,-0.08767558787930345,-0.036117963140566395,-0.2515965818587387,-0.03740790831734189,1.0
