,Num_Attacks,Fatalities,Injuries,Conflict_Level,Population,GDP_per_capita
Num_Attacks,1.0,0.7161800920971446,0.7538499304568438,0.3755167430853397,0.4145713824141528,-0.00013122530129033936
Fatalities,0.7161800920971446,1.0,0.7677693072879386,0.5300547847209572,0.33829354910786985,-0.3044941638561966
Injuries,0.7538499304568438,0.7677693072879386,1.0,0.4524913546001144,0.38170517325002545,-0.1363165569529029
Conflict_Level,0.3755167430853397,0.5300547847209572,0.4524913546001144,1.0,0.26977942142492356,-0.27920683632448384
Population,0.4145713824141528,0.33829354910786985,0.38170517325002545,0.26977942142492356,1.0,0.025693210551017406
GDP_per_capita,-0.00013122530129033936,-0.3044941638561966,-0.1363165569529029,-0.27920683632448384,0.025693210551017406,1.0
